"state","sex","year","total","daily"
"Hawaii","Females",1996,18.77,15.62
"Hawaii","Both",1996,21.94,18.21
"Hawaii","Males",1997,24.6,20.26
"Hawaii","Females",1997,18.48,15.2
"Hawaii","Both",1997,21.49,17.68
"Hawaii","Males",1998,23.5,19.12
"Hawaii","Females",1998,17.97,14.51
"Hawaii","Both",1998,20.68,16.77
"Hawaii","Males",1999,23.42,18.87
"Hawaii","Females",1999,17.95,14.43
"Hawaii","Both",1999,20.64,16.61
"Hawaii","Males",2000,24.28,19.81
"Hawaii","Females",2000,17.77,14.29
"Hawaii","Both",2000,20.97,17
"Hawaii","Males",2001,24.3,19.87
"Hawaii","Females",2001,17.74,14.43
"Hawaii","Both",2001,20.96,17.1
"Hawaii","Males",2002,24.71,20.25
"Hawaii","Females",2002,17.75,14.42
"Hawaii","Both",2002,21.17,17.29
"Hawaii","Males",2003,24.88,19.79
"Hawaii","Females",2003,17.86,14.06
"Hawaii","Both",2003,21.3,16.87
"Hawaii","Males",2004,24.03,18.87
"Hawaii","Females",2004,17.84,13.78
"Hawaii","Both",2004,20.88,16.28
"Hawaii","Males",2005,22.64,17.47
"Hawaii","Females",2005,18.1,13.88
"Hawaii","Both",2005,20.33,15.64
"Hawaii","Males",2006,22.49,17
"Hawaii","Females",2006,17.81,13.34
"Hawaii","Both",2006,20.11,15.14
"Hawaii","Males",2007,21.78,16.26
"Hawaii","Females",2007,17.32,12.92
"Hawaii","Both",2007,19.51,14.56
"Hawaii","Males",2008,21.42,15.87
"Hawaii","Females",2008,17.15,12.89
"Hawaii","Both",2008,19.25,14.35
"Hawaii","Males",2009,20.77,15.25
"Hawaii","Females",2009,16.52,12.46
"Hawaii","Both",2009,18.61,13.83
"Hawaii","Males",2010,20.22,14.31
"Hawaii","Females",2010,15.7,11.55
"Hawaii","Both",2010,17.92,12.91
"Hawaii","Males",2011,19.74,13.82
"Hawaii","Females",2011,15.04,10.79
"Hawaii","Both",2011,17.35,12.28
"Hawaii","Males",2012,19.07,13.13
"Hawaii","Females",2012,14.59,10.3
"Hawaii","Both",2012,16.79,11.69
"Idaho","Males",1996,24.65,19.97
"Idaho","Females",1996,20.83,16.73
"Idaho","Both",1996,22.7,18.32
"Idaho","Males",1997,24.64,19.63
"Idaho","Females",1997,20.98,16.75
"Idaho","Both",1997,22.78,18.17
"Idaho","Males",1998,24.79,19.46
"Idaho","Females",1998,21.25,16.82
"Idaho","Both",1998,22.99,18.12
"Idaho","Males",1999,24.53,19.04
"Idaho","Females",1999,21.23,16.69
"Idaho","Both",1999,22.85,17.84
"Idaho","Males",2000,24.11,18.5
"Idaho","Females",2000,21.13,16.51
"Idaho","Both",2000,22.59,17.49
"Idaho","Males",2001,24.37,18.75
"Idaho","Females",2001,21.48,16.87
"Idaho","Both",2001,22.9,17.79
